type,PC1,PC2,PC3,PC4,PC5
True,2.3858025468829975,3.55663321041779,-0.7818811767705816,-1.3067765714908548,0.8634146796548938
True,-0.024192623673268535,-0.4387977710956605,-0.35431948348129894,0.017424028237463765,-0.2593954218944226
True,0.21177343681029348,0.4962923205806704,0.39747801504752067,-0.45168115733184644,0.4955174208463847
True,1.779368457362929,0.9502672372264795,-0.3774110380152309,-0.13559565136782836,-0.2668918460897346
True,0.7316640674739769,0.08327739939667472,-1.1619269010159996,-0.6444121969237506,-0.3694344462716893
True,0.35889448427913556,-0.4370628397606269,1.1921144241595256,-0.016172576892659836,0.11477016935411827
True,-0.49111950974214563,-1.4409491937310521,2.4249681337707547,-0.6877439938617783,-0.04597979435521371
True,-0.05778037714059199,0.5041329923090426,1.1613297469880015,-0.6023624509382369,0.3124350638096808
True,-0.5294864678622612,-0.9259079894638915,1.4543735998735488,0.23802156821907378,0.18916406796892643
True,0.9498052203004282,-1.9938212258789387,0.11123210481409002,1.9455691053052915,0.7634375150518657
True,1.4385779070409093,3.8708213178740825,0.8851734496718515,-0.33945775664940425,1.5233379272187757
True,0.563842939923563,-1.5592567617326083,0.8500719742206256,0.6410407535935649,0.18833646989055317
True,-0.2113535213156428,-1.1792051207359089,-1.6998175063602652,-1.2114707703931833,-1.2192109010208738
True,0.4152908197168883,-0.9626374946320975,1.253602635359533,-0.04701035684718552,-0.24791006910897348
True,0.6500033688155253,0.31371765738759116,-1.3300413150257353,-0.4727806470730207,-0.13979572604874263
True,-0.36135875878245327,-2.681741806608886,0.4227639227724035,-0.22791309857923003,0.1741676129887092
True,0.5592467414620946,-1.4888173329463867,0.6106987452945206,-0.8062951136147757,-0.35340240814579843
True,0.4487523327223441,-0.8140589863040422,-0.20556354786436462,1.0903281331008359,0.2895317898286769
True,-0.7276758678226798,0.4141879329421412,-0.8620759840475836,-1.0395273988030016,-1.9371265699587488
True,-0.030229494053582592,-0.3826523670274183,-0.26555742338252253,0.4605932672240541,0.306522276351716
True,2.331952310131033,0.9283410007438058,-0.6849513438993451,0.7396121945479331,0.08973826860094007
True,0.5173365886080858,-0.7400291170378557,-0.4637331833060123,0.750519522886492,-0.08978697979006997
True,0.5732971635605288,0.514237940686929,-0.43954798171365966,0.49891417815138533,1.0085627628417764
True,0.19323299477076883,-1.2093792849176814,1.5572350080582467,0.1638131551562394,-0.06437490182572383
True,0.17778664760506072,-1.426433627226793,1.3638250244219796,0.8705119749091487,-0.0421683335607419
True,0.4047404509134076,1.4915557867374551,0.4693490301052665,-0.5422437006549229,1.0935091396905756
True,-0.9201745614017277,-1.1209346500659982,0.48402686736832584,-0.40098396298981953,0.9027039344132072
True,0.3323959970979843,-0.900677510946353,0.7983665834563922,-0.16934014743135667,-0.40091858623372717
True,1.5843381149150597,0.42172206824762304,-1.9159455196301876,-0.724494352413872,1.0540629872708656
True,0.08013059012962065,-1.7195107278041095,1.5585852416990729,0.1840150283690059,-0.5042832374957787
